PM10;PM2.5;VeL_Viento;Temperatura;Humedad;Rad_Solar;Lluvia
70;19;2;25,9;69,6;0;0
75;33;2,1;25,1;78;10,1;0
46;26;3,4;24,1;82,6;18,1;0
34;9;3,8;24,4;84,1;105,7;0
28;10;1,7;27;72;391,2;0
36;14;1,5;30;56,8;440,8;0
47;17;3,4;31,2;51,1;335,7;0
51;18;3,7;32,9;44,3;399,7;0
40;12;3,7;35,4;37,8;349,9;0
42;12;3;38,1;31,4;229,4;0
51;12;3,8;38,3;30,1;138,7;0
38;8;3,9;36,2;34,4;15,1;0
37;4;5,1;33,3;41;0;0
37;7;4,4;31,5;45,8;0;0
54;14;2,9;30;52,4;0;0
67;20;2,4;27,8;60,6;0;0
54;14;2,4;27;63,7;0;0
49;13;3,1;26,7;65,3;0;0
37;7;2,8;26,3;66,2;0;0
43;4;2,2;26,2;67,2;0;0
34;5;2,7;26,1;68,1;0;0
46;11;1,1;26,1;68;0;0
67;20;2,8;26,3;68,1;0;0
63;20;1,4;26,2;68;0;0
69;24;2,2;25,7;69,7;5,6;0
88;24;1,7;26,1;70,3;40,7;0
73;23;1,7;28,9;63,3;176,3;0
62;19;2,1;32,5;48,6;281,3;0
58;20;2,6;34,4;41,7;355,2;0
59;16;1,8;36,2;36,8;434,5;0
54;18;2,4;37,5;33,2;388,9;0
46;27;1,3;38,5;30,4;364,3;0
61;29;3,6;39,2;28,5;263,5;0
46;20;3,9;37,8;31,1;123;0
46;16;7,8;34,1;38,1;16,4;0
36;16;5,6;32,7;40,5;0;0
42;13;3,9;31,9;43,3;0;0
47;16;1,7;30,8;48,9;0;0
39;13;2,5;30,2;51,4;0;0
28;9;4,2;29,3;54,3;0;0
30;6;2,6;28,7;57,5;0;0
24;6;2,4;28,1;59,9;0;0
26;3;5;27,8;61,5;0;0
11;3;5,2;26;66,3;0;0
21;4;2,9;26;68,2;0;0
16;3;1,5;25,4;70,7;0;0
22;3;1,5;25,7;72;0;0
51;9;3;26,1;70,9;0;0
67;26;2,3;26,2;71,4;21,9;0
39;9;1,5;27,3;69,6;100,1;0
59;16;1,2;31,5;55,9;303,4;0
40;5;3,7;35;41,7;390,9;0
41;10;3,1;35,7;38,8;388;0
39;13;3,3;37,1;34,7;439;0
35;12;4,8;38,3;29,4;408,5;0
48;16;4,8;39;28,2;285,9;0
49;16;4,3;37,6;31,5;128,3;0
85;31;5,5;35,8;36,2;49,4;0
74;20;5,5;29,8;47,3;0;0
75;23;2,7;29,8;49,8;0;0
90;41;1,6;28,4;52;0;0
88;27;2,6;27,9;54,1;0;0
84;32;1,6;27,6;56,1;0;0
81;34;1,5;27;59,1;0;0
91;39;2,2;26,3;62,9;0;0
95;31;2,9;26,2;63,5;0;0
55;19;1,6;25,8;64,1;0;0
56;21;1,2;25,7;65,4;0;0
51;17;1,9;25,5;66,9;0;0
45;15;2,6;25,4;68,6;0;0
38;9;2,9;25,2;68,2;9,2;0
61;18;3,1;26,1;66,4;78,9;0
52;15;2,6;29,1;56,8;186,6;0
38;9;2,3;32,6;43,3;290;0
38;13;2,1;34,9;36,8;371,8;0
46;15;2,1;36,5;33,3;419;0
53;20;3,5;37,5;31,1;429,6;0
57;25;3,7;38,5;29,2;389,6;0
81;32;2,3;38,6;29,4;264,8;0
50;19;4,9;39,3;27,8;248,9;0
46;9;7,5;37,6;30,5;121,5;0
48;10;6,3;35,2;35,8;21,9;0
53;10;6;33,1;40,5;0;0
75;29;2,1;31,7;44,3;0;0
53;14;3;29,3;53,9;0;0
40;11;2,7;27,7;60,1;0;0
65;19;2,3;27,7;61,2;0;0
78;22;2,1;28;61,1;0;0
61;16;2,4;27,3;63,1;0;0
89;29;2,5;26,8;65,1;0;0
40;10;2,5;26,8;65,2;0;0
38;8;2,3;26,6;65,6;0;0
45;13;1,7;26,4;66,7;0;0
88;21;2;26,1;67,7;0;0
103;27;2,2;25,5;69,9;0;0
94;27;2,6;26,3;70;46,7;0
63;24;3,4;29,1;61,8;169,9;0
70;27;2,6;32,1;49,5;254,9;0
95;31;2,6;34,4;42,1;322,9;0
76;39;2,8;36,1;37,5;428,1;0
54;23;3,9;37,6;32,3;437,3;0
73;26;3,1;38,6;29,6;387,2;0
71;30;4,2;38,9;28,1;289,3;0
47;13;4,1;39,1;27,8;260,2;0
50;9;7,5;38,4;28,8;140,2;0
53;5;7,7;35,7;34;37,4;0
47;8;6,4;33,1;38,8;0;0
71;25;2,2;31,5;43,6;0;0
77;17;3,8;29,4;51,4;0;0
44;12;2,7;28;58,3;0;0
60;17;2,1;27,6;59,8;0;0
